Date,Clean Tweet
28/11/16 22:05, they have withdrawn 85  cash through this demonitisation    do you see it 
28/11/16 22:04,  is thr prblm in Q s at Big bazaar also  Looks like u hv bn thr for 1st time  Q s wr thr b4  Demonitisation    twitter com aashishkhetan  status 803216829053140992  
28/11/16 22:04, See how tongues twisted  KCR 1st CM objected Demonitisation Now He started preaching  No morals 
28/11/16 22:04,  s reporting on the so called protests on  Demonitisation is so biased and wrong  Curious onlookers are not protesters   GetItRight
28/11/16 22:04,Line mein sab lag jaayenge    RamLala jab aayenge    Hum ATM wahin banaayenge     JaiShriCash  Demonitisation
28/11/16 22:03,Nandan trolled  big time in her own show    hilarious    Demonitisation    ndtv com video exclusiv e the buck stops here note ban shock is good for india nandan nilekani to ndtv 440489 pfrom home lateststories  
28/11/16 22:03,When the gov  itself has become black to white agent why to worry pay 50  and enjoy   Demonitisation
28/11/16 22:02, Demonitisation People need only 100 rupee notes  not 2000
28/11/16 22:02, waroncash  Demonitisation  JanAkroshDiwas pic twitter com I1O1QJYAYE
28/11/16 22:01,Currencies and bills are having major compatibility issues at the moment owing to  Demonitisation
28/11/16 21:59, Demonitisation education quality in govt  Schools should be improved  which will definitely provide a great path to digitalized India 
28/11/16 21:58,I am not dreaming nor are you  BDutt spoke in favour of Namo  Ache din aagaye  Demonitisation  twitter com BDUTT status 8 03272361931747328  
28/11/16 21:57,  Kangress and Kujliwal scored self goal by opposing demonitisation  
28/11/16 21:57, Demonitisation endorsed by  bypolls    mahavoted4bjp results     
28/11/16 21:55,  india   Demonitisation  twitter com LegalKant stat us 803273399447461888  
28/11/16 21:54,Hopes of lower rates from  Demonitisation unfounded  RBI will counteract deposit surplus to maintain macro stability  financialexpress com economy narend ra modi government mulls increasing market stabilisation scheme limit 458161   
28/11/16 21:54, jai ho Modi  Amit bhai  BJP   Jai ho    Demonitisation    
28/11/16 21:53, Demonitisation is a scheme introduced by BJP to convert Black into White     Thousands of jobs available for Agents 
28/11/16 21:52,Unable to understand how far does demonitisation help the poor
28/11/16 21:52,Time for  to expand in this part of world     ndequity economictimes indiatimes com news digital p ost paytms pos app withdrawal rivals look at opportunities to attract consumers 55659266    Demonitisation
28/11/16 21:52,Sir pls be mature on demonitisation   We have great respect for Congress  Don t let s us down  Be positive on Northampton 
28/11/16 21:52,Anyone else s  acting up while booking  Looks like no payment method is working except cash   Demonitisation woes  uber
28/11/16 21:49, Demonitisation         1                                                                                                                     Demonitisation  803272187025031168
28/11/16 21:47, but ofcourse u need to fit in into your media circle  criticizing modi on demonitisation is  in  these days  what does nilekani know 
28/11/16 21:46,Acid test for government and banks will be in a few days  Pray all goes well   Demonitisation    SalaryDisbursals  
28/11/16 21:45, SORRY U BEING MODI HATER WILL NEVER APPRECIATE ON DEMONITISATION TO CURB BLACK MONEY  
28/11/16 21:45,Said Or UnSaid why Hue Cry4 Demonitisation   They Cry More Who worst hit   BandhProved ItsNot Publics Issue     twitter com DILIPLOHIA sta tus 803269540226465792  
28/11/16 21:45, waroncash  Demonitisation  JanAkroshDiwas  twitter com vladimirilych1  status 803270645186379780  
28/11/16 21:43,Do not find  ShilpaShettyReviews much amusing  My family sends  sanghi forwards on WhatsApp just as they spot a  Namo  and   demonitisation  
28/11/16 21:43, Even I didn t get 2 pappad s as usual on Veg meal today  I found that only bcos of Modi    Demonitisation such things happn
28/11/16 21:43, Will support  Demonitisation   not the inconvenience  
28/11/16 21:43,  sir  demonitisation scheme might have saved many farmers life as the hoarders depositing money in farmers a c
28/11/16 21:42, Banks mopped up deposits worth Rs 8 11 033 crore after  demonitisation till Nov 27  exchanged Rs 33 948 crore  said  RBI   
28/11/16 21:42,In India  Black Money Makes for Bad Policy  nyti ms 2g81tUw Kaushik Basu former chief economist of  WorldBank on  Demonitisation  
28/11/16 21:42, ash so they did not get affected by demonitisAtion  
28/11/16 21:42,The most affected by  Demonitisation   Black money holders  illegal trusts and Jeethalal from TMKOC 
28/11/16 21:40, Opposition Helped PM Modi On Note Ban Issue  Demonitisation  heeralalias blogspot in 2016 11 opposi tion helped pm modi in note ban html  
28/11/16 21:40,Opposition has terribly failed to measure the nation s mood on  Demonitisation n on Modi s performance on general so far  IndiaRejectsBandh
28/11/16 21:39,Nine notifications since 8 nov  Many more to come   demonitisation
28/11/16 21:38, Opposition Helped PM Modi On Note Ban Issue  Demonitisation  heeralalias blogspot in 2016 11 opposi tion helped pm modi in note ban html  
28/11/16 21:38, today the nation has seen what is their responce to demonitisation   
28/11/16 21:36,Congratulations       ppl support  Demonitisation
28/11/16 21:36,                                                                                                                Demonitisation pic twitter com 6Gs3Wuh3ZD
28/11/16 21:36,It is not demonitisation it is expropriation  A different prespective  something to ponder upon    ln is scroll in arti cle 82 d02P8  
28/11/16 21:35, Opposition Helped PM Modi On Note Ban Issue  Demonitisation  heeralalias blogspot in 2016 11 opposi tion helped pm modi in note ban html  
28/11/16 21:35,   I salute demonitisation   Pls provide shed and water to all customers in banks Thnku 
28/11/16 21:35, waroncash  Demonitisation  JanAkroshDiwas pic twitter com n71ocMq233
28/11/16 21:34,In Slumdog Millionaire  Salim is killed in a bathtub of 1000 rupee notes  Today that bathtub would be worthless  Demonitisation
28/11/16 21:34, Demonitisation  politics  india  congressparty workers sweating it out to be the loudest in their protest or     fb me OGyjF9Mo
28/11/16 21:34, Demonitisation  politics  india  congressparty workers sweating it out to be the loudest in their protest or politicking pic twitter com CnntPWYaAk
28/11/16 21:33,Jaise demonitisation pe faisla le liya   waise hi reservation pe bhi faisla le lo  1 2 
28/11/16 21:32,Demonitisation causes short term chaos in the marckets 
28/11/16 21:31,Politics of  Demonitisation With UP state elections around the corner  various political parties like  INC are     fb me SCQN2sHZ
28/11/16 21:31,Politics of  Demonitisation With UP state elections around the corner  various political parties like  INC are shoring up political base  twitter com xtack status 8 03266878437146624  
28/11/16 21:31, Opposition Helped PM Modi On Note Ban Issue  Demonitisation  heeralalias blogspot in 2016 11 opposi tion helped pm modi in note ban html  
28/11/16 21:30,      mahavoted4bjp      Demonitisation
28/11/16 21:29,   1st post wron pic 2 defame  Demonitisation   then don t delete 1s caught show How Naffat Dey R
28/11/16 21:29, all anti  demonitisation netas r exposed  They ve miscalculated ppl s sentiments  Now they ll try 2 cover up their failure
28/11/16 21:29,When I first heard of  demonitisation   it was an interesting academic reflection  figuring out what values and     fb me 2xqky1Hr1
28/11/16 21:29, really impressed with KCR garu press meet on demonitisation and discussions with cabinet  Felt proud by his words to end corruption 
28/11/16 21:29, gov can pass benefits of  Demonitisation to citizens of India  5LacsCashlessHealthRuPayCard make them to go cashless habits  
28/11/16 21:28,Feel extreme sorry for those politicians   black money holders who still hopes for roll back of demonitisation  
28/11/16 21:28,   Opposition Helped PM Modi On Note Ban Issue  Demonitisation  heeralalias blogspot in 2016 11 opposi tion helped pm modi in note ban html  
28/11/16 21:28,Sadhguru talking about AK and Modi      youtu be VEw8 DJllVw  DividedAakrosh  Demonitisation
28/11/16 21:28,     BJP is confused on demoneti New IT amendment gotcha BJP fellow  demonitisation
28/11/16 21:28,Tit for tat Bharat Bandh for demonitisation     
28/11/16 21:28,Feel extreme sorry for those politicians   black money holders who still hopes for roll back of demonitisation    
28/11/16 21:27, Opposition Helped PM Modi On Note Ban Issue  Demonitisation  heeralalias blogspot in 2016 11 opposi tion helped pm modi in note ban html  
28/11/16 21:27,LOL to opposition against demonitisation  IndiaRejectsBandh
28/11/16 21:26, sorry no queues in trivandrum  just come and see  we are fine with demonitisation you moron
28/11/16 21:26, Opposition Helped PM Modi On Note Ban Issue  Demonitisation  heeralalias blogspot in 2016 11 opposi tion helped pm modi in note ban html  
28/11/16 21:26,     I salute demonitisation  
28/11/16 21:26,  Opposition Helped PM Modi On Note Ban Issue  Demonitisation  heeralalias blogspot in 2016 11 opposi tion helped pm modi in note ban html  
28/11/16 21:25, Opposition Helped PM Modi On Note Ban Issue  Demonitisation  heeralalias blogspot in 2016 11 opposi tion helped pm modi in note ban html  
28/11/16 21:24,India s demonitisation reminds me a bit of the Four Pests Campaign   ftalphaville ft com 2016 11 28 218 0394 indias cash crunch apparently not great for business    via 
28/11/16 21:24,Those who want to see the transformation are indeed seeing it unlike a few   IAmWithModi  Demonitisation  AchheDin  twitter com INirajVerma st atus 802857025063354368  
28/11/16 21:23,Only people who are not impacted by  Remonitisation or  demonitisation are the ones who s expenses are paid by others
28/11/16 21:22, DON T scroll ur Mobile citizens are happy with P M MODIJI on demonitisation evident from result of Maharstra
28/11/16 21:22,Demonitisation killed Fidel Castro  twitter com TrollKejri sta tus 802946595675250688  
28/11/16 21:22,Private businessmen from the corporate world were part of demonitisation decision making   legallyindia com blogs no secre t private businessmen from the corporate world were part of demonitisation decision making   via 
28/11/16 21:22, Remonitisation or  demonitisation or whatever you call  every honest Indian citizen is suffering
